iter	Passed	Remaining
0	46	46805
1	47	23521
2	47	15752
3	47	11869
4	47	9545
5	48	7987
6	48	6882
7	48	6049
8	49	5406
9	49	4888
10	49	4466
11	49	4113
12	50	3815
13	50	3569
14	51	3353
15	52	3211
16	52	3042
17	53	2935
18	54	2796
19	54	2674
20	55	2564
21	55	2459
22	55	2363
23	55	2275
24	56	2193
25	56	2121
26	56	2050
27	57	1986
28	57	1925
29	57	1868
30	58	1815
31	58	1768
32	58	1721
33	59	1680
34	59	1639
35	59	1599
36	60	1562
37	60	1526
38	60	1493
39	60	1461
40	61	1431
41	61	1402
42	61	1375
43	62	1348
44	62	1323
45	62	1300
46	62	1276
47	63	1254
48	63	1233
49	63	1212
50	64	1192
51	64	1173
52	64	1155
53	64	1137
54	65	1120
55	65	1105
56	65	1089
57	68	1119
58	69	1110
59	70	1102
60	70	1088
61	71	1074
62	71	1061
63	71	1048
64	71	1035
65	72	1022
66	72	1010
67	72	998
68	73	986
69	73	975
70	73	965
71	74	955
72	74	945
73	74	935
74	75	925
75	75	916
76	75	906
77	75	897
78	76	887
79	76	878
80	76	869
81	76	860
82	77	850
83	77	844
84	77	836
85	77	828
86	78	820
87	78	813
88	78	805
89	78	798
90	79	791
91	79	783
92	79	776
93	79	770
94	80	763
95	80	757
96	80	750
97	80	745
98	81	739
99	81	733
100	81	727
101	82	723
102	82	717
103	82	712
104	83	707
105	83	702
106	83	697
107	83	692
108	84	686
109	84	682
110	84	677
111	84	672
112	85	667
113	85	662
114	85	658
115	85	653
116	85	648
117	86	644
118	86	640
119	86	635
120	86	631
121	87	627
122	87	623
123	87	619
124	87	615
125	88	611
126	88	607
127	88	603
128	88	600
129	89	596
130	89	592
131	89	589
132	89	585
133	90	582
134	90	578
135	90	575
136	90	572
137	91	568
138	91	565
139	91	562
140	91	559
141	91	555
142	92	552
143	92	549
144	92	546
145	92	543
146	93	540
147	93	537
148	93	535
149	93	532
150	94	529
151	94	526
152	94	524
153	94	521
154	95	519
155	95	516
156	95	513
157	95	511
158	96	509
159	96	507
160	96	504
161	97	502
162	97	502
163	98	501
164	98	499
165	98	497
166	99	494
167	99	492
168	99	490
169	100	488
170	100	486
171	100	484
172	100	482
173	101	480
174	101	478
175	101	476
176	102	474
177	102	472
178	102	472
179	104	474
180	104	472
181	104	470
182	104	468
183	105	466
184	105	464
185	105	462
186	105	460
187	106	458
188	106	457
189	106	455
190	107	453
191	107	451
192	107	449
193	107	447
194	108	446
195	108	444
196	108	442
197	108	441
198	109	439
199	109	437
200	109	436
201	109	434
202	110	432
203	110	431
204	110	429
205	111	427
206	111	426
207	111	424
208	111	423
209	112	421
210	112	420
211	112	418
212	112	417
213	113	415
214	113	414
215	113	412
216	114	412
217	114	410
218	114	409
219	115	407
220	115	406
221	115	404
222	115	403
223	116	402
224	116	401
225	116	399
226	116	398
227	117	397
228	117	395
229	117	394
230	118	393
231	118	391
232	118	390
233	118	389
234	119	387
235	119	386
236	119	385
237	119	383
238	120	382
239	120	382
240	120	380
241	121	379
242	121	378
243	121	377
244	121	375
245	122	374
246	122	373
247	122	372
248	123	371
249	123	369
250	123	368
251	123	367
252	124	366
253	124	365
254	124	363
255	124	362
256	125	361
257	125	360
258	125	359
259	125	358
260	126	357
261	126	356
262	126	355
263	126	353
264	127	352
265	127	351
266	127	350
267	128	349
268	128	349
269	128	348
270	129	347
271	129	346
272	129	345
273	129	344
274	130	343
275	130	342
276	130	341
277	130	339
278	131	339
279	131	337
280	131	336
281	131	335
282	132	334
283	132	333
284	132	332
285	132	331
286	133	330
287	133	330
288	133	329
289	134	328
290	134	327
291	134	326
292	134	325
293	135	324
294	135	323
295	135	322
296	135	321
297	136	320
298	136	319
299	136	318
300	136	318
301	137	317
302	137	316
303	137	315
304	138	314
305	138	313
306	138	312
307	138	311
308	139	311
309	139	310
310	139	309
311	139	308
312	140	307
313	140	306
314	140	306
315	141	305
316	141	304
317	141	303
318	141	302
319	142	301
320	142	300
321	142	300
322	142	299
323	143	298
324	144	299
325	144	299
326	145	298
327	146	299
328	146	298
329	146	297
330	147	297
331	147	296
332	147	295
333	147	294
334	148	293
335	148	293
336	148	292
337	148	291
338	149	290
339	149	289
340	149	289
341	149	288
342	150	287
343	150	286
344	150	286
345	150	285
346	151	284
347	151	283
348	151	282
349	151	282
350	152	281
351	152	280
352	152	279
353	152	279
354	153	278
